Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Survey,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
1,47,8762.23,15.8626095,15,0,1,10.40566091,222.649979,4.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1
0,70,43882.72,14.73616645,12,0,0,1.392421597,139.981577,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
3,20,10482.52,13.43558029,13,2,0,1.430386349,200.132293,3.0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
4,69,33442.79,10.61771118,18,1,0,5.425864884,257.651257,4.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
9,45,43383.54,6.613070806,14,0,0,11.08287797,230.105118,3.0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0
0,40,21793.88,4.450171647,13,2,0,3.586184954,147.489301,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0
6,82,51960.51,8.774646693,9,0,0,4.727388465,230.105118,4.0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0
5,74,25942.1,11.13156721,8,1,1,20.89923386,174.958118,4.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
4,69,11211.59,5.540788887,15,1,0,3.471329958,267.664655,5.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
1,52,8283.29,13.80362698,11,0,1,5.478588204,162.483267,3.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
2,26,10114.81,16.31017089,16,1,1,3.312991809,229.993134,4.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0
1,25,36229.21,9.447065309,9,2,0,7.161561527,140.00128,4.0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0
1,66,25397.44,16.84100845,12,1,0,9.847563364,184.964681,4.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0
1,72,50336.5,7.972937227,10,1,1,16.04202196,147.473844,4.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
3,21,38211.37,11.42906608,12,1,0,9.179779682,172.457857,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
3,55,52887.26,8.06137096,16,2,0,3.002844144,107.481989,3.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
4,41,12003.33,12.54780492,11,1,2,3.924254455,255.141716,3.0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
4,32,24090.62,8.255565152,13,0,0,18.55959629,192.456745,3.0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0
0,22,15137.93,13.156514,6,0,0,8.798394712,242.632554,4.0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
2,44,54458.38,10.58349704,5,1,0,10.377366,245.174977,3.0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
2,23,132116.33,12.50184778,11,1,0,22.25746016,184.964681,3.0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0
3,43,37358.13,9.750038902,11,1,0,9.427146079,195.006206,4.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
1,86,26534.16,7.868660851,11,2,2,7.760290062,104.962874,3.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2,84,76430.83,12.43563329,14,0,1,11.56938439,92.488023,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
2,62,4662.37,8.957166926,13,3,0,3.343811019,184.979684,3.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0
5,68,43820.85,8.015021713,12,1,0,7.338869531,187.656013,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0
1,59,38391.55,4.210347704,8,0,0,5.486534225,149.962093,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
0,31,44137.6,11.13960534,6,0,0,1.55278221,169.944668,4.0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
0,51,14364.65,9.03738856,11,2,0,12.07970325,160.00128,4.0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1
1,58,62359.91,10.91594785,11,1,1,13.98666226,129.962093,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,73,82634.86,8.387624096,11,0,1,9.563362997,114.950905,4.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,33,15690.25,11.4487514,11,0,1,6.732948946,142.515576,4.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1
1,58,14568.7,10.22013704,15,2,0,15.72071086,220.14775,4.0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
0,49,29207.46,8.425458142,9,1,0,7.233605493,124.97808,4.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1,26,55319.23,8.386280619,12,1,0,2.871017037,164.964681,4.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
1,25,81831.49,9.565924291,10,3,0,2.344875382,194.976769,3.0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
0,42,100076.65,10.79349982,14,3,0,7.960490246,152.455519,4.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1
1,81,69965.65,6.081975067,15,0,0,12.25062113,92.5018,4.0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,43,34883.69,13.55065547,13,0,0,9.634946079,127.488728,4.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0
2,63,45634.2,9.470419821,14,1,0,7.916533093,184.963371,4.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
3,70,10964.73,6.194985909,11,0,1,4.471254161,265.146969,3.0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0
1,78,22365.28,10.80393657,19,1,0,10.79028074,207.609354,4.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
0,48,52636.6,7.903964267,17,0,1,12.24190682,152.462354,2.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0
1,63,19048.13,11.27443693,18,2,1,2.203859443,200.132293,4.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0
4,60,42784.82,6.129509309,12,0,0,23.92132231,212.655686,5.0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
0,87,77996.88,7.969277912,17,0,0,3.7311787,255.119794,4.0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0
3,54,47507.3,4.368120492,9,0,0,7.980015371,134.950905,3.0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
3,35,7724.73,6.258356398,9,0,1,9.190009376,255.137219,3.0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0
1,70,1509.52,12.92303286,16,0,0,2.378630018,214.966286,4.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
2,67,81124.71,12.43301273,13,0,0,5.43464555,270.160419,4.0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0
4,46,11795.57,7.607663559,11,0,0,1.092361222,200.165175,2.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0
1,50,74794.84,7.442789019,10,2,1,20.13981517,149.937833,3.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1,24,19038.78,13.04429298,18,1,0,24.64873861,240.114868,4.0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1
0,20,79167.77,14.89762162,17,0,0,9.677739656,127.495766,4.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0
1,29,37428.26,13.79387475,13,2,1,9.82814183,187.609354,3.0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
0,31,45148.38,15.66367593,6,1,0,7.832238337,169.992756,4.0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
5,72,74855.47,8.513410306,13,3,0,19.45250317,192.456745,4.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
4,71,45323.86,8.265002035,10,1,0,14.34766616,120.004928,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0
2,32,71596.14,8.6026551,11,0,0,2.257358355,195.006206,4.0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
0,33,10389.95,6.03993035,15,1,0,2.358129018,139.95684,4.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
3,67,19657.14,14.6040829,12,3,0,4.650578623,114.983787,3.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0,66,27827.03,7.274007029,13,1,1,3.721772616,207.638588,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0
4,21,15609.05,8.913898759,12,4,0,3.76663012,187.609354,4.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
0,61,19815.63,11.59313893,13,0,2,4.151256695,134.950905,4.0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
0,75,58482.9,8.294186076,13,0,0,2.188918771,192.470522,3.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1
0,63,41656.53,15.19664016,9,1,0,13.85488928,222.628057,3.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1
0,68,115510.46,5.083995994,3,1,0,3.273341151,162.468917,3.0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0
2,32,15841.19,6.942719201,7,1,1,19.75096265,159.979358,3.0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
0,76,81127.41,9.834012571,7,1,0,18.38404445,184.979684,3.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,1
0,29,24270.88,11.0596826,13,0,0,4.672610857,245.145743,4.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0
0,83,54466.33,8.834079073,17,0,1,6.796299371,124.97808,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
10,23,64816.84,5.271228601,14,1,1,12.97632235,187.484705,3.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1
5,80,103311.26,9.394961367,15,1,0,20.31163945,162.500692,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1
0,20,40211.04,14.4754365,11,1,1,6.998814446,182.467607,4.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
0,69,58077.38,10.68311773,12,1,1,14.46288204,222.660939,3.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0
1,32,43466.35,13.79409442,10,1,0,11.13472066,182.467607,3.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
0,53,23289.77,12.40165307,19,1,0,2.542296644,220.161527,3.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1
2,25,49158.49,10.24782033,9,1,0,17.22596021,169.937833,4.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
0,69,3805.84,14.86100819,16,0,2,22.79214163,204.963371,3.0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1
3,71,52616.27,6.716953195,10,2,1,3.823689744,204.963371,3.0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0
3,53,30550.42,8.124258176,18,1,0,10.77094687,245.128318,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
2,56,12154.01,14.60903837,11,0,2,13.08671185,172.473314,3.0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
0,42,30649.31,12.65015936,9,2,2,14.76468813,172.456745,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
3,33,31417.33,12.0281501,14,0,0,9.473091121,194.976769,2.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
1,47,55861.19,15.68043093,16,1,0,5.197446331,137.439154,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,48,9044.26,11.30421466,18,3,1,6.577552683,192.470522,4.0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0
0,63,25381.66,10.26646787,10,1,0,3.174571918,159.951231,3.0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
1,40,65064.31,7.56618217,9,0,0,17.88002366,112.455141,3.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,67,12527.51,10.40677369,14,2,0,13.12190056,174.961766,4.0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1
0,56,35499.06,7.146124361,13,3,0,23.34617699,162.452604,4.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0
6,24,26282.4,9.807530479,10,1,0,6.311709178,137.483594,4.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
2,79,51237.28,10.61217014,12,3,0,12.58298231,275.133571,4.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0
3,61,64222.21,5.785085772,16,1,1,7.120096363,127.442069,4.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,38,11014.98,9.062879297,11,2,0,9.344886869,210.138,4.0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0
4,28,21172.49,16.54443477,13,1,0,22.37815032,147.456419,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
3,44,26130.78,4.539566699,8,2,0,4.799514433,242.657291,4.0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0
1,65,36478.21,7.251198724,14,2,0,10.04672315,114.983787,3.0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
3,35,54533.63,8.943293567,15,2,1,8.156552837,187.656013,4.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0
2,31,37103.18,12.57884215,9,3,1,7.992791229,149.991327,3.0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
2,34,74679.84,11.64836306,11,0,1,7.231032028,124.960655,4.0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,68,95028.57,6.076260652,13,0,0,4.627672042,220.161527,3.0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
0,62,34281.1,11.75681641,9,0,0,10.05306287,172.48852,4.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
0,52,36240.81,9.173739977,14,0,1,4.171044392,120.004928,4.0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0
5,32,9515.64,8.353693631,11,4,0,4.568682641,220.161527,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1
0,47,125814.88,10.74539526,10,0,1,6.085030507,139.965008,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
8,66,12995.68,11.36323648,12,1,1,2.730250735,159.951231,4.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1
1,70,77531.43,2.310584634,14,1,0,8.574901206,184.949594,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0
3,41,87354.99,5.290318715,10,0,0,9.743201772,252.637807,4.0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1
2,59,76567.85,5.258274954,8,1,0,9.482919033,112.455141,4.0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1,46,30663.52,7.157580014,12,0,0,8.447988841,179.979358,4.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0
3,70,122957.19,2.120350511,17,0,0,6.365998533,202.443347,3.0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0
1,89,31600.92,4.978546291,12,2,0,7.251397592,197.472533,4.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0
4,75,74638.78,6.547676875,10,3,1,14.64011644,255.155493,4.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1
0,26,32652.3,7.410590719,9,0,1,11.71637124,174.976769,4.0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0
4,25,63650.54,11.39765385,8,1,1,4.13273503,169.992756,3.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0
1,84,28622.6,11.29945603,14,1,0,2.887429547,192.440432,4.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0
3,69,50252.79,11.30748265,15,0,2,3.303030246,182.460772,4.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0
3,31,19800.81,10.31551212,11,2,1,5.15825129,139.965008,4.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
10,76,35954.77,13.71555406,14,1,0,3.237560234,137.461553,3.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
8,75,36342.31,15.40917963,15,2,0,2.733109234,217.472533,4.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0
1,74,48715.53,11.9664542,17,1,0,3.180102025,210.138,2.0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1
1,49,23204.98,10.18046877,10,2,0,15.85983755,104.964303,4.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1,47,35302.52,14.01485542,16,1,1,11.73724209,262.610632,3.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
4,20,54895.16,14.62784306,17,2,0,7.006240694,152.488401,5.0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0
2,26,60398.06,10.90517581,10,2,0,5.562130367,174.974431,3.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
